Date,Weekly_Sales,Temperature,Fuel_Price
05-02-10,643690.9,3.682142857,2.572
12-02-10,641957.44,2.325,2.548
19-02-10,611968.17,2.832142857,2.514
26-02-10,409727.59,5.225,2.561
05-03-10,554806.68,5.178571429,2.625
12-03-10,439541.59,9.210714286,2.667
19-03-10,472515.79,8.064285714,2.72
26-03-10,404429.92,6.946428571,2.732
02-04-10,594968.28,10.81071429,2.719
09-04-10,545418.53,12.09285714,2.77
16-04-10,466058.28,12.25714286,2.808
23-04-10,391256.12,11.72857143,2.795
30-04-10,425100.71,12.64642857,2.78
07-05-10,603955.12,14.48214286,2.835
14-05-10,494251.5,15.27857143,2.854
21-05-10,399662.07,15.87142857,2.826
28-05-10,432069.95,17.3,2.759
04-06-10,615524.71,17.38928571,2.705
11-06-10,542561.09,17.29642857,2.668
18-06-10,503284.06,18.61071429,2.637
25-06-10,422711.6,18.69285714,2.653
02-07-10,492418.14,17.46785714,2.669
09-07-10,546074.18,17.31428571,2.642
16-07-10,448938.92,18.26785714,2.623
23-07-10,385065.2,18.34285714,2.608
30-07-10,371986.6,17.8,2.64
06-08-10,605491.78,19.7,2.627
13-08-10,508237.76,19.64285714,2.692
20-08-10,513080.49,19.51785714,2.664
27-08-10,449142.92,19.00714286,2.619
03-09-10,540163.53,17.575,2.577
10-09-10,507460.69,16.675,2.565
17-09-10,430378.67,17.89642857,2.582
24-09-10,351791.03,17.47857143,2.624
01-10-10,453329.5,14.24642857,2.603
08-10-10,508239.93,11.40357143,2.633
15-10-10,459409.1,12.56428571,2.72
22-10-10,345454,13.52142857,2.725
29-10-10,384209.22,13.44285714,2.716
05-11-10,551659.28,9.55,2.689
12-11-10,494479.49,9.860714286,2.728
19-11-10,483784.18,6.932142857,2.771
26-11-10,955624.11,11.61428571,2.735
03-12-10,548033.78,6.167857143,2.708
10-12-10,682614.26,5.117857143,2.843
17-12-10,891034.93,6.371428571,2.869
24-12-10,1387950.2,7.260714286,2.886
31-12-10,367320.01,5.867857143,2.943
07-01-11,444732.28,5.810714286,2.976
14-01-11,391013.96,1.214285714,2.983
21-01-11,327405.42,4.3,3.016
28-01-11,316899.31,4.225,3.01
04-02-11,606629.58,3.667857143,2.989
11-02-11,649614.93,1.567857143,3.022
18-02-11,686842.78,9.057142857,3.045
25-02-11,456800.28,11.03571429,3.065
04-03-11,636263.41,9.85,3.288
11-03-11,553191.63,7.7,3.459
18-03-11,576818.06,10.98571429,3.488
25-03-11,541102.38,13.56071429,3.473
01-04-11,495064.75,9.703571429,3.524
08-04-11,614259.35,12.8,3.622
15-04-11,559889,14.025,3.743
22-04-11,564819.81,14.63928571,3.807
29-04-11,455090.69,14.29642857,3.81
06-05-11,629391.28,11.64642857,3.906
13-05-11,604775.58,15.58571429,3.899
20-05-11,428218.27,12.725,3.907
27-05-11,466046.67,16.32857143,3.786
03-06-11,635078.41,18.21428571,3.699
10-06-11,588948.32,18.26071429,3.648
17-06-11,532114.86,19.43214286,3.637
24-06-11,438830.15,18.42142857,3.594
01-07-11,488538.09,19.125,3.524
08-07-11,534849.64,19.225,3.48
15-07-11,455119.97,20.19285714,3.575
22-07-11,396926.82,19.20357143,3.651
29-07-11,352219.79,19.58214286,3.682
05-08-11,624383.75,21.30357143,3.684
12-08-11,525147.09,20.98571429,3.638
19-08-11,530761.43,20.69285714,3.554
26-08-11,464693.46,19.98571429,3.523
02-09-11,550229.22,19.93928571,3.533
09-09-11,540471.24,15.71428571,3.546
16-09-11,514259.78,17.12142857,3.526
23-09-11,380020.27,15.64285714,3.467
30-09-11,394561.83,17.03214286,3.355
07-10-11,630989.95,13.325,3.285
14-10-11,493525.93,14.19285714,3.274
21-10-11,502562.78,11.325,3.353
28-10-11,445249.09,12.34642857,3.372
04-11-11,697229.58,8.207142857,3.332
11-11-11,594938.89,9.682142857,3.297
18-11-11,539483.7,10.80357143,3.308
25-11-11,1033320.66,10.05,3.236
02-12-11,584083.95,6.039285714,3.172
09-12-11,799682.38,4.260714286,3.158
16-12-11,881176.67,7.010714286,3.159
23-12-11,1270188.99,5.7,3.112
30-12-11,497462.72,4.482142857,3.129
06-01-12,550369.92,6.075,3.157
13-01-12,459601.17,5.903571429,3.261
20-01-12,394393.84,7.896428571,3.268
27-01-12,319325.59,7.95,3.29
03-02-12,636339.65,8.767857143,3.36
10-02-12,802477.43,5.721428571,3.409
17-02-12,819870,4.757142857,3.51
24-02-12,539387.83,9.017857143,3.555
02-03-12,688420.76,10.34285714,3.63
09-03-12,675431.16,9.557142857,3.669
16-03-12,677472.78,11.69285714,3.734
23-03-12,511068.07,12.11785714,3.787
30-03-12,649604.63,12.71785714,3.845
06-04-12,899676.88,13.725,3.891
13-04-12,621031.7,13.23928571,3.891
20-04-12,521577.87,12.41428571,3.877
27-04-12,468928.37,12.58214286,3.814
04-05-12,684519.99,15.55357143,3.749
11-05-12,611096.05,14.91785714,3.688
18-05-12,595901.87,13.68928571,3.63
25-05-12,555444.55,16.15,3.561
01-06-12,624477.58,16.41071429,3.501
08-06-12,697230.96,16.53571429,3.452
15-06-12,630607,16.91071429,3.393
22-06-12,527845.81,16.56785714,3.346
29-06-12,540421.49,18.88571429,3.286
06-07-12,769854.16,17.70357143,3.227
13-07-12,527014.04,16.11428571,3.256
20-07-12,497954.76,17.29285714,3.311
27-07-12,439123.71,18.09285714,3.407
03-08-12,631135.79,19.325,3.417
10-08-12,592409.97,18.94642857,3.494
17-08-12,597868.05,18.875,3.571
24-08-12,494122.38,16.30714286,3.62
31-08-12,582083.4,17.31785714,3.638
07-09-12,661767.33,18.55714286,3.73
14-09-12,517428.87,15.34642857,3.717
21-09-12,506126.06,13.525,3.721
28-09-12,437059.26,15.74285714,3.666
05-10-12,670785.97,13.05357143,3.617
12-10-12,573072.81,11.06785714,3.601
19-10-12,508068.77,12.84642857,3.594
26-10-12,493659.74,13.27142857,3.506
